english_name,arabic_name,meaning,gender
Afsa,أفصى,"Transparent, clear.",male
Afsah,أفصح,"Eloquent, Very polite.",male
Afsan,فصان,"Tale, legend, fiction",male
Afsaneh,فسنه,A fairy tale.,male
Afsar,أفسر,Crown.,male
Afsar-ud-din,أفسرددن,Adorning the religion.,male
Afsaruddin,أفسردن,"Crown of the religion (Islam), Adorning the religion (Islam)",male
Afseruddin,أفسردن,Supporter of Islam,male
Afshan,فشن,Adornment aids,male
Afshar,افشار,"Afshar is a Persian name for boys that means friend, companion. It is originally from Turkish.",male
Afshin,فشن,"Afshin is a Persian and Turkish given name, derived from the princely title of the rulers of Osrusana at the time of the Muslim conquest.",male
Aftab,آفتاب,"Sun, Bright, prosperous",male
Aftab-ud-din,فتبددن,Sun of the religion (Islam).,male
Aftar,أفطر,Breakfast the east.,male
Afuww,عفو,"The Pardoner, He who pardons all who repent sincerely as if they had no previous sin",male
Afza,أفز,"one who brings plenty, one who causes an increase (in goodness)",male
Afzaal,فزال,"Kindness, grace, favours, virtues.",male
Awfa,أوفا,"Awfa is a direct Quranic name for boys and girls that means faithful, true to his/her promise.",female
Awisa,عويصة,"Awisa is an Arabic name for girls that means beautiful, gorgeous, and its literal meaning is dimpled, one who has dimples on her cheeks when she smiles.",female
Awishan,أوشن,"Awishan is a Kurdish name for girls that means spearmint, a plant known for its strong scent. Awishan is the Kurdish variant of the Persian word Avishan.",female
Awja,عوجا,"Awja is an Arabic name for girls that means pinnacle, top, highest point. It also means the most distant point from earth on the moons orbit.",female
Awla,أولى,Deserving and Worthy,female
Awlya,أولية,Good Friend and Companion,female
Awqa,أوقع,"Awqa is an Arabic name for girls that means most guarding, most protective of others, a person who is very keen to protect others.",female
Awsal,أوصل,Awsal is an Arabic name for boys and girls that means to become closer to God through good deeds and worship.,female
Awsam,أوسم,Awsam is an Arabic name for boys and girls that means badges of honor. It is the plural of Wisam.,female
Awsima,أوسمة,Awisma is an Arabic name for girls that means badges of honor. It is a plural of Wisam.,female
Awwalan,أولا,"Awwalan is an Arabic name for boys and girls that means those who are ahead, those who are first. It is a plural of Awwal (first).",female
Awwazah,عاوزه,"Awwazah is an Arabic name for girls that means giver of restitution, giver of recompense.",female
Aya,أيا,"verse ,Phrase from the holy Quran.",female
Ayaat,أيات,"Pl. of Ayat, sign, verse of the Quran.",female
Ayah,أيه,"A verse from Quran, a sign from Allah ,clear evidence ,Sign, distinct",female
Ayamin,أيمن,Blessed,female
Ayana,أين,"Lucky, good day, day of judgement",female
Ayaneh,عينه,"Ayaneh can be an attributive form of the Persian word Ayan, meaning like a long night, like inspiration, it can also be a possessive form, meaning one who has inspiration.",female
Ayat,آيات,"Sign, revelation, verse of the Quran.",female
Ayd,عيد,Power and Strength,female
Aydania,أيدنا,Tall,female
Aydi,أَيْدِي,"Power, Strength, hands",female
Ayeh,أيه,"Sign, distinct ,Quranic verse, clear evidence, sign of Allah",female
Ayineh,عيينه,"Ayineh is a Persian name for girls that means mirror. Figuratively it means pure heart, a heart that is unblemished and reflects goodness and truth.",female
Ayli,أيلي,moonlight.,female
Aymalak,يملك,Moon angel,female
Aymen,أيمن,"Sacred, Brave, Old name of Arabia",female
Ayna,أين,"One who Has wide Beautiful Eyes ,Women with Large Eyes.",female
Aynoor,اينور,Moonlight,female
Aynunnahar,عينناهر,"Source of the spring Babara,	Lioness",female
Auraq,أوراق,"Auraq is an Arabic name for boys and girls that means dust-colored, sand-colored, which refers to a light brown color.",female
Ausa,أوصى,"Ausa is an Arabic name for girls that means help, support, gift. It is a variant of the word Awsah, feminine or singular of Aws.",female
Ausaq,أوسق,"Ausaq is an Arabic name for girls that means loads, such as the load carried by a ship or carriage, or the load of fruit borne by a palm tree. It is the plural of Wasq.",female
Ava,أفا,"Ava is a Persian name for girls that means voice, melody, song, opinion.",female
Avan,أفان,"Time, Era, Epoch. Avan is the Persian variant of Awan and means time, moment. Avan can also be a Persian, non-Quranic name meaning guard.",female
Avaz,أفز,"Avaz is a Persian name for girls that means tune, melody, musical sound, musical voice.",female
Aveed,أفيد,"Aveed is a Persian name for girls that means wisdom, sense, intelligent.",female
Aveen,فين,"Aveen is a Persian name for girls that means pure, crystal clear, transparent. In Kurdish it means love.",female
Avesta,فيستا,"It's a Persian name for boys and girls that means principle, foundation, refuge, fellowship. It is also the name of an ancient language of Persia and the name of the holy book of Zoroastrianism, an ancient religion of Persia which some Muslim scholars consider a true religion inspired by God that, like Christianity",female
Avishan,فعشان,"Avishan is a Persian name for girls that means spearmint, a plant known for its good scent.",female
Avivit,عفيفة,Lilac,female
Avizah,فيزه,A pendant,female
Avizeh,فيزه,"Avizeh is a Persian name for girls that means earrings, pendant and literally means that which hangs.",female
Awa,أو,"Beautiful angel, night",female
Awafita,أوفيت,"Awafita is an Arabic name for girls that means shepherdesses, the plural of Afita (shepherdess), a woman who looks after sheep, cattle, goats or camels.",female
Awaidia,أودية,Consoler,female
Awaisha,عويشة,"Living Well. BLANKENTER Awaisha is an Arabic name for girls that means those who are living well, those who have a good life. Awaisha is the plural of Aisha.",female
Awaiza,أوز,Consoler,female
Awamila,عوامل,"Awamila is an Arabic name for girls that means active,  industrious, it is the opposite of lazy.",female
Awamira,أوامر,Life and Alive,female
Awarif,عوريف,"Awarif is an Arabic name for girls that means intelligent, wise, knowledgeable. It is the plural of Arifa.",female
Awat,أوت,"Awat is a Kurdish name for boys and girls that means wish, desire, hope.",female
Awatif,عواطف,"Awatif is an indirect Quranic name for boys and girls that means emotions, passions, instincts.",female
Awayeda,عويضة,Guide,female
Awb,أوب,Repentance,female
Awbi,أوبي,"Awbi is an Arabic name for boys and girls that means one who repents, one who always returns to Gods obedience.",female
Awbia,أوبئة,One Who Repents,female
Awdaq,ودق,Friendly and Hospitable,female
Awdiya,أودية,"Awdiya is an Arabic name for girls that means valleys, it is the plural of Waadi (valley). The word Awdiya is used in the Quran in verse 13:17.",female
Awena,أون,Awena is a Kurdish name for girls that means mirror. The origin of this name is the Persian word Ayineh which has the same meaning.,female
Awad,أود,"Reward, Compensation",male
Awadi,أودي,"Kind, Compassionate and Tenderhearted BLANKENTER Awadi is an Arabic name for boys that means compassionate, kind. This name is different than Awwadi, though they have the same meaning and come from the same root. In Awadi the stress is on the second syllable, while in Awwadi the stress is on the first.",male
Awadil,وديل,"Justice and Fairness.Awadil is an Arabic name for boys that means those who are fair and just, it is the plural of the name Adil.",male
Awadili,وديلي,Awadili is an Arabic name for boys that means one who treats others with justice and fairness. It is derived from the AIN-D-L root which is used in many places in the Quran.,male
Awadini,أودين,"Eternal, Everlasting and Immortal",male
Awais,أويس,Naim of a saint,male
Awaiz,أوز,"Decorated, decked.",male
Awalmir,والمر,Prime Chief.,male
Awamil,عوامل,"Awamil is an Arabic name for boys that means active, effective, one who has a role.",male
Awamir,أوامر,Life and Alive,male
Awamiri,أوامري,Life and Alive,male
Awan,أوان,"Friend, supporter.",male
Awanah,أوانه,"Middle-aged, fierce. Abu Awanah Al-Waddah was a scholar of Hadith and a reciter of Quran.",male
Awani,أواني,Helper and Supporter,male
Awasim,أوسيم,"Awasim is an Arabic name for boys that means fighters of corruption, those who improve things and reduce corruption.",male
Awat,أوت,"Awat is a Kurdish name for boys and girls that means wish, desire, hope.",male
Awatif,عواطف,"Awatif is an indirect Quranic name for boys and girls that means emotions, passions, instincts.",male
Awayed,أويد,"Awayed is an Arabic name for boys that means habit, something accustomed to. It also means customary, tradition.",male
Awb,أوب,Repentance,male
Awbi,أوبي,"Awbi is an Arabic name for boys and girls that means one who repents, one who always returns to Gods obedience.",male
Awd,أود,Return,male
Awdaq,ودق,Friendly and Hospitable,male
Awelijama,ولجم,Man of somali,male
Awf,أوف,"Guest, fragrance, lion,",male
Awfa,أوفا,"Awfa is a direct Quranic name for boys and girls that means faithful, true to his/her promise.",male
Awfar,أوفر,"Awfar is an Arabic name name for boys that means more, plenty, much.",male
Awhad,أوحد,Unique,male
Awj,أوج,"Awj is a Persian and Arabic name for boys that means height, pinnacle, top. It is originally taken from Sanskrit.",male
Awla,أولى,Deserving and Worthy,male
Awlan,أولا,"Awlan is an Arabic name for boys that means one who returns often, one who fixes and reforms things.",male
Baaqa,باقة,"Baaqa is an Arabic name for girls that means bouquet, bunch of flowers.",female
Baasima,باسمة,Smiling,female
Badaa,بداء,"Badaa is a variant of the word Baddah and means goal, praise, energy, strength. It is an Arabic name for girls.",female
Badai,بدي,"Pl. of Badia, wonder, marvel.",female
Badawiya,بدوية,"Badawiya is an Arabic name for girls, feminine of Badawi, that has the same meaning as the English word Bedouin, an Arab ethnic group known for living the desert in tribes and clans. The Bedouin are known for their bravery and loyalty. Prophet Muhammad (PBUH), spent the first few years of his life with a Bedouin family",female
Badaya,بداية,Beginning and Inception,female
Badeea,بادية,"Smart, Creative and Innovative",female
Badeeah,باديه,"Astonishing, amazing, marvel, wonder",female
Badeeda,بددا,"Badeeda is an Arabic name for girls that means example, sample, specimen.",female
Badeela,بديلا,Replacement,female
Badhaa,بدهاء,"Badhaa is an Arabic name for boys and girls that means to begin, to start, to initiate.",female
Badia,بادية,"Unprecedented, amazing, admirable, unique",female
Badiah,باديه,"Unprecedented, amazing, admirable, unique",female
Badiha,بديهة,"Insight, perceptive , faculty.",female
Badir,بادر,Moon and Moonlight,female
Badira,بادرة,Moon and Moonlight,female
Badiyah,باديه,Desert Bint Ghaylan al-Saqafi was so named she was of Taif.,female
Badra,بادرة,Full moon,female
Badrah,بادره,"Badrah is an Arabic name for girls that means full moon. It also means to be early, to be ahead of others.",female
Badrai,بدري,Name of Fairy in a famous Fairy Tale (Saiful Malook o Badri Jamala Shaperai).,female
Badran,بدران,"The most beautiful, Full moon.",female
Badri,بدري,One who took part in the battle of Badr,female
Badriya,بدرية,Resembling full moon,female
Badriyah,بدريه,Resembling the full moon,female
Badriyyah,بدريه,Resembling the full moon,female
Baduah,بعده,"Smart, Creative and Innovative",female
Badyah,باديه,"Clear, knowledgeable person.",female
Baghisha,بغش,"Baghisha is an Arabic name for girls that means light rain, light rain that only affects a small area.",female
Baha,بها,"Beauty, glow, splendor magnificence.",female
Bahaar,بحار,Spring,female
Ayoosh,عيوش,Life and Alive,female
Aypari,يباري,Moon fairy,female
Ayra,أرى,"Noble, respectful, respected, honorable.",female
Aysal,أيصال,Moonlike,female
Aysan,ايسن,"Aysan is a Turkish-Persian name for girls that means moonlike, it is made up of the Turkish Ay (moon) and the Persian suffix san (like, similar to). The figurative meaning of the name is beautiful, brilliant.",female
Ayse,أيس,"[Turkish] moonlike, beautiful, radiant. do not confuze with arabic name aisha",female
Aysen,أيس,Aysen is a Turkish name for girls that means you are like the moon and figuratively means you are beautiful.,female
Aysheen,عايشين,"Aysheen is a Turkish name for girls that means moonlike, and figuratively it means beautiful.",female
Aysoo,عيسو,"Aysoo is a Turkish name for girls that is made up of Ay (moon) and soo (water), creating the figurative meaning of beautiful, fresh, brilliant.",female
Aytak,يطاق,"Aytak is a Turkish-Persian name for girls that means beautiful and unique, most beautiful. Its literal meaning is unique moon, lone moon, formed from the Turkish word Ay (moon) and the Persian tak (singular, alone, unique, peerless).",female
Aytan,آيتان,"Aytan is a Turkish-Persian name for girls that means moonlike, beautiful, brilliant. It is made up of the Turkish word Ay (moon) and the Persian tan (body, bodied), thus the literal meaning is moon-bodied, moonlike.",female
Ayusha,عيشة,"Living Well. Ayusha is an Arabic name for girls that means one who lives well, one who has a good life. It is the diminutive form of Aisha.",female
Ayyam,أيام,Ayyam is an Arabic name for boys and girls that means days. It is the plural of yawm (day).,female
Ayyubia,عيوبي,Ayyubia is an Arabic name for girls that means one who is like prophet Ayyub in patience. It is the feminine attributive form of Ayyub. Ayyubia can also mean one who belongs to the Ayyubid Dynasty. The Ayyubids were a Muslim tribe and dynasty lead by Salahaddin al-Ayyubi (Saladin).,female
Az-zahra,عززهرة,Excellent and smart,female
Azaa,عزاء,"A must have, right, courage, power, legal, allowable.",female
Azadah,زاده,Free,female
Azaddokht,أزدخة,Azaddokht is a Persian name for girls that means daughter of a free man. It is formed from Azad (free) and -dokht (daughter of).,female
Azadeh,زاده,Princess,female
Azah,أزاح,"Strong, bright",female
Azal,أزال,"Azal is a Persian and Arabic name for boys and girls that means eternity, since the beginning of time.",female
Azalia,أزاليا,Azalia is an Arabic name for girls that refers to the flower known as dahlia in English.,female
Azarakhsh,زرقهش,Azarakhsh is a Persian name for girls that means lightning.,female
Azardokht,زردخة,"Azardokht is a Persian name for girls that means rosy, rose-colored, beautiful, fiery. It is formed from the words Azar (fire) and dokht (girl).",female
Azari,أزري,"Azari is an Arabi name for girls that means virgins, maidens. It is the plural of Azraa.",female
Azarm,أزرم,"Azarm is a Persian name for girls that means modesty, kindness, compassion, virtue.",female
Azayiz,عزيز,"Azayiz is an Arabic name for girls that means mighty, powerful, respected.",female
Azbah,عذبه,"Azbah is an Arabic name for girls that means fresh, sweet, used especially to describe water that is fresh, cool and sweet (not salty or bitter or warm).",female
Azeebah,عذبه,"Azeebah is an Arabic name for girls that means fresh, sweet.",female
Azeema,عزيمة,"Determination, firm will.",female
Azeemah,عزيمه,"Great, dignified",female
Azeen,أزين,"Beauty, Patience",female
Azeeza,عزيزة,"Esteemed, Precious, cherished, dear, beloved",female
Azeezah,عزيزه,"Esteemed, precious, cherished, dear,beloved, honored,",female
Azhaar,أزهار,"Pl. of Zahra, flower, blossom.",female
Azhar,أزهار,"Famous, More evident, most apparent, most illuminated.",female
Azila,أزيل,"Caring, Guardian and Protector",female
Azima,أزمة,"Great, powerful, dignified, magnificent, glorious fem. of Azim.",female
Aziman,أزمان,"Sky, heaven",female
Azin,أزين,Accessories (usually Jewlery).,female
Azita,عزيت,Name of an iranian princess,female
Aziz,عزيز,"Might, strong, illustrious, highly esteemed, dearly loved, one of the names of Allah.",female
Aziza,عزيزة,"Noble, precious, cherished, honorable, illustrious, highly esteemed, dearly loved, beloved fem. of Aziz.",female
Azizah,عزيزه,"Esteemed, precious, cherished, beloved, dear",female
Azka,أزكى,"Virtuous, Pious, God-Fearing and Devoted to God",female
Azma,أزمة,Blessing of Allah,female
Azmia,أزمة,"Brave, Strong and Courageous",female
Azmina,أزمنة,"Beautiful, shining",female
Azra,عذرا,"Maiden, Pious, Virgin(used for Maryam/Mary), a young unmarried lady.",female
Azraa,عذراء,Unpierced pearl,female
Azrah,أزره,Beautiful pearl in Jannah (Heaven),female
Azwa,عزوة,"Pl. of Zau, light, splendour, limelight.",female
Azyan,أزين,"Azyan is an Arabic name for boys and girls that means adornments, decorations, beautiful features, any group of things that beautify something else. Azyan is the plural of Zayn.",female
Azza,عزة,Young female gazelle,female
Azzaa,عزاء,Azzaa is an Arabic name for girls that means female gazelle. It is a variant of Azzah.,female
Azzah,أذاه,"Young, female gazelle.",female
Azzat,عززت,"Azzat is the Turkish form of the Arabic name Azzah, which means gazelle. It is used for both boys and girls.",female
Baadiyah,باديه,Name of a sahabiyyah.,female
Baan,بان,"Baan is an Arabic name for girls that means tall, slender and attractive. Its literal meaning is moringa, a type of tree.",female
Baanah,بانه,"Baanah is an Arabic name for girls that means tall, slender and attractive. Its literal meaning is moringa, a type of tree. Baan is the general name of the tree, while Baanah means one moringa tree.",female
Azhaf,أزحف,"Courageous, elite",male
Azhar,أزهار,"Famous, More evident, most apparent, most illuminated.",male
Azharan,أزهارا,"The sun and moon alike, to adopt, buds.",male
Azharuddin,أزهاردن,"Urdu name formed from Arabic Azhar (most prominent, most visible) and ad-Deen (the religion,Islam).The full meaning is one who clarifies and explains the religion, one who spreads the religion. This combination is created by non-Arabs and in Arabic the literal meaning is the most clear part of the religion.",male
Azher,أظهر,"Most shining, Luminous",male
Azhmeer,عزهمر,Clever,male
Azil,أزل,"Caring, Guardian and Protector",male
Azim,عظيم,"Greatest, Might, magnificent, glorious, great, dignified, exalted, determined, one of the names of Allah.",male
Azimushshan,عظيمششا,Of mighty concern,male
Aziz,عزيز,"Might, strong, illustrious, highly esteemed, dearly loved, one of the names of Allah.",male
Azizullah,عزيزلله,Dear to Allah.,male
Azka,أزكى,"Virtuous, Pious, God-Fearing and Devoted to God",male
Azlan,أزلا,Lion,male
Azli,أزلي,From the beginning.,male
Azm,عزم,"Azm is a direct Quranic name for boys that means determination, resolve, aim. The word Azm is mentioned about 9 times in the Quran.",male
Azmaray,زماري,Varient for Zmaray (Lion).,male
Azmat,أزمة,"Respect, honor, Majesty, pride, grandeur, greatness.",male
Azmeer,أزمير,"Clever, pious.",male
Azmi,عزمي,One who fulfils his promise.,male
Azmii,عزمي,Bold heart,male
Azoom,عزوم,"Azoom is an Arabic name for boys that means determined, firm of will.",male
Azraf,أذرف,"More elegant, more graceful, more humorous.",male
Azrak,أزرق,"Blue, Name of a companion of the Prophet S.A.W.",male
Azraq,أزرق,"Blue, name of a companion of the Prophet PBUH, bin Qays.",male
Azraqi,أزرق,He was an authority on the history and geography of Makkah.,male
Azud,أزود,"Upper arm, strength, power, support.",male
Azududdawlah,ازددولة,Strength of the state,male
Azududdin,ازددن,Support of religion (Islam).,male
Azyan,أزين,"Azyan is an Arabic name for boys and girls that means adornments, decorations, beautiful features, any group of things that beautify something else. Azyan is the plural of Zayn.",male
Azzaam,عزام,"Determined, Resolved",male
Balquees,بلقيس,"She was the daughter of Ahmad bin Mishqar, and a distinguished woman of her times, she was the wife of Sayfud-din al- Hanafi. (A.N).",female
Balsam,بلسم,"Balsam, balm",female
Banafsaj,بنفسج,Violent flower.,female
Banafsha,بنفسها,Daughter of Abdullah al-Rumiyah was a very pious and generous woman who gave much in charity (AN).,female
Banafshah,بنفسهة,A flower (violet),female
Banafsheh,بنفسهه,A flower (Violet),female
Banan,بنان,"Delicate, finger tips",female
Banazir,بنازير,"Banazir is a variant of the Persian/Urdu/Kurdish girl name Benazir which means unique, peerless.",female
Bano,بنو,"Lady, Miss, Princess ,gentlewoman",female
Banou,بانو,"Lady, gentlewoman",female
Banu,بن,"Princess, lady, Miss.",female
Banujah,بنجاح,"The daughter of al-Mahdi, the Khalifah (775-785), had this name.",female
Baqa,باقة,"Survival, immortality, etern",female
Baqat,باقة,Baqat is an Arabic name for girls that means bouquet (which means bunch of flowers). It is the plural of the Arabic word Baqah.,female
Baqiya,بقية,"Eternal, Everlasting and Immortal",female
Baraa,براء,"one who cure, sahabi name( al baraa ibnu malik)",female
Baraaem,برايم,"Baraaem is an Arabic name for boys and girls that means unopened flower bud, figuratively meaning young, fresh, innocent.",female
Baraah,براه,Innocence,female
Baraha,براحة,Baraha is an Arabic name for girls that means one who has an extremely white and glowing skin.,female
Baraim,برايم,"Pl. of Burum, blossom, bud.",female
Baraka,باركا,"Blessings, abundance",female
Barakah,بركه,Blessing,female
Baran,باران,Baran is a Persian and Kurdish name for girls that means rain.,female
Barat,بارت,"Innocence, guiltlessness.",female
Barayek,بريق,Barayek is an Arabic name for boys and girls that means blessed.,female
Bareea,برية,"Innocent, blameless, guiltless, sound fem. of Bari.",female
Bareerah,بريرة,"Pious, The freed slave of Sayyidina Ayshah RA a well-known women companion, she lived upto the times of Khalifah Yazid bin Muawiyah RA",female
Barhamah,برحمه,"Barhamah is an Arabic name for girls that means flower bud, which figuratively means young, innocent.",female
Baria,برية,"Excelling, originator, Creator, Female of Baari",female
Bariah,بريه,Excelling,female
Ayaz,عايز,A sincere slave of mehmood the king once upon a time,male
Aybak,أيبك,Ibn-Aybak was a leading historian,male
Ayd,عيد,Power and Strength,male
Aydarus,عيدروس,"Aydarus is an Arabic name for boys that means lion. This name perhaps originates from the word atrasah, which means fierceness.",male
Aydarusi,عيدروسي,"Aydarusi is an Arabic name for boys that means brave and courageous, one who is like a lion.",male
Aydeen,أيدين,"Aydeen is a Persian name for boys that means radiance, light, lucid, clear, translucent, figuratively it means enlightened, educated, clear-minded.",male
Aydi,أَيْدِي,"Power, Strength, hands",male
Aydin,أيدين,"Brilliant, Enlightened, Intelligent, Light of the moon",male
Ayed,أيد,Visitor and Traveler,male
Ayeen,أين,"Ayeen is a Persian name for boys that means creed, habit, method.",male
Ayham,أيهم,Brave,male
Ayiq,عايق,Ayiq is an Arabic name for boys that refers to flowering plant known as larkspur in English.,male
Ayish,أيش,"Ayish is an Arabic name for boys that means alive, living-well.",male
Aykon,أيكون,"Aykon is an Arabic name for boys that means bird nest, it is the plural of Wakn. It can also mean brisk walk, fast travel.",male
Aymaan,أيمان,Lucky,male
Ayman,أيمن,"Lucky blessed, righ-hand, right, on the right, fortunate.",male
Ayn,أين,Source.,male
Aynan,عينان,"Aynan is an Arabic name for boys and girls that means two springs, two fountains. The word Aynan is used twice in the Quran in Surat ar-Rahman, in verses 55:50 and 55:66, when describing springs found in Paradise.",male
Aynuddin,أيندن,Source of the faith (Islam),male
Aynul-hayat,ينلهياة,Fountain of Life.,male
Aynun-naim,عينننم,Fountain of blessing.,male
Ayoob,أيوب,A Prophets name (Jobe),male
Ayoub,أيوب,A Prophets name(Jobe ),male
Aysar,أيسر,"Arabic for easier, better off, living better. It is the male version of the girl name Yusra.",male
Ayser,أيسر,"Easy in dealing, wealthy",male
Ayub,أيوب,"Afflicted, Same as Jobe (name of a prophet)",male
Ayyaaz,عايز,Servent of King Mahmood of Ghazni,male
Ayyad,عيد,"Powerful and Able. BLANKENTER Ayyad is an indirect Quranic name for boys that means able strengthener, a person who is powerful and adds strength to others. It is derived from the Y-D-Y root which is mentioned in many places in the Quran",male
Ayyam,أيام,Ayyam is an Arabic name for boys and girls that means days. It is the plural of yawm (day).,male
Ayyan,أين,"Allah's gift, Waliullah, Allah ka Tuhfa..",male
Bahja,بحجة,happiness,female
Bahnaz,بهنز,Bahnaz is a variant of the Persian girl name Behnaz which means most lovable.,female
Bahr,بحر,Ocean,female
Bahraa,بهراء,"Beautiful, shining",female
Bahriyah-al-aabidah,بحريهلبدة,"She was a devoted worshipper and ascetic of Basrah She used to say, ""If the heart gives up the passions evil desires, it will then demosticate knowledge"" AN",female
Bahsa,بحصة,"Bahsa is a variant of the Persian boy and girl name Behsa which means good, virtuous. Both Behsa and Bahsa are acceptable names.",female
Bahz,لاريب,Without a doubt,female
Baiza,بيزا,"White, bright, brilliant, innocent, pure, fem. of Abyaz.",female
Bajila,بجيلة,"Honored, dignified, highly regarded.",female
Bakarah,بقره,Virginity.,female
Bakheeta,بخيتة,"Bakheeta is an Arabic name for girls that means lucky, fortunate.",female
Bakhita,بخيتة,"Lucky, fortunate fem. of Bakhit.",female
Bakhshandeh,بخشنده,"Bakhshandeh is a Persian name for girls that means generous, giving, selfless.",female
Bakht,بخت,"Good fortune, luck, prosperity, Fortune",female
Bakhta,بخطى,"Bakhta is an Arabic name for girls that means good fortune, luck. It is the feminine form of Bakht.",female
Bakhtawar,بخطور,"Lucky, fortunate.",female
Bakhtawara,بخطورة,Lucky,female
Bakhtia,باختي,"Bakhtia is an Arabic name for girls that means lucky, fortunate. It is the feminine attributive form of Bakht.",female
Bakira,باكرا,Bakira is an Arabic name for girls that means virgin. It is the feminine version of the boy name Bakir. Bakira is a new word and is not mentioned in classical Arabic dictionaries.,female
Bakirin,بقرن,Early and On Time,female
Bakura,باكورة,Coming early.,female
Balaghah,بلغه,"Balaghah is an Arabic name for girls that means eloquence, the ability to express thoughts clearly and effectively in writing or speech.",female
Balbala,بلبلة,"Name of Bird,  Bulbul ,Nightingale",female
Baleegha,بليغة,Eloquent,female
Bali,بالي,"Bali is a Turkish-Persian name for girls that means made of honey, like honey. It is formed from the Turkish word Bal (honey) and the Persian attribution suffix i.",female
Baligha,بليغة,Eloquent.,female
Baljah,بالجاه,"Baljah is an Arabic name for girls that means first light of dawn, it also means glow of the face.",female
Balooja,بالوجة,"Balooja is an Arabic name for girls that means radiant, glowing.",female
Balqees,بلقيس,"She was the daughter of Ahmad bin Mishqar, and a distinguished woman of her times she was the wife of Sayfud-din al- Hanafi. (A.N).",female
Balqis,بلقيس,Name of the Queen of Sheba,female
Ayyash,أيش,Bread seller,male
Ayyashi,عيشي,Living Well,male
Ayyasy,عيسي,"Bread seller, Long life, Name of Prophet's companion",male
Ayyaz,عايز,Servent of King Mahmood of Ghazni,male
Ayyub,أيوب,"Ayyub was a Prophet of Allah known for his patience in the face of severity and hardship. There have been other noted men by this name, for instance Ibn Tamim was a reciter of the Quran, Al-Sakhtiyani was a learned ascetic, both had this name.",male
Ayyubi,عيوبي,"Ayyubi is an Arabic name for boys that means one who is like prophet Ayyub (known as Job to Christians), which means one who is very patient, one who is humble and virtuous. Ayyub isalso means one who belongs to the Ayyubid Dynasty, an Islamic dynasty founded by Salahaddin al-Ayyubi (Saladin).",male
Aza,أذا,Comfort,male
Azaad,أزاد,"Free, liberated, unrestrained.",male
Azaam,عزام,"Submission, prostration.",male
Azaan,أذان,"Call for the Pray, Strength & Power",male
Azab,عزب,"Touring, travelling, wandering",male
Azad,أزد,"Free, unrestrained, Independent, Liberated",male
Azain,أزين,Decoration.,male
Azal,أزال,"Azal is a Persian and Arabic name for boys and girls that means eternity, since the beginning of time.",male
Azali,أزلي,Azali is a Persian and Arabic name for boys that means eternal.,male
Azam,عزام,"Greater, greatest, more important, most important, most pious, most exalted, Follower, faithful.",male
Azan,أذان,Call for the prayer,male
Azarang,عزرانج,"Azarang is a Persian name for boys that means brilliant, shining, glowing.",male
Azb,عذب,"Azbis a direct Quranic name for boys that is used to describe water, it means sweet, tasty, fresh.",male
Azbak,عذبك,"Independent, autonomous.",male
Azban,زبان,"Azban is an Arabic name for boys that means fresh, sweet, especially water that is refreshing to drink.",male
Azeeb,أذيب,"Azeeb is an Arabic name for boys that means fresh, sweet.",male
Azeem,عظيم,"Greater, Defender, referring to one of Gods ninety nine qualities",male
Azeez,عزيز,"Dear, beloved, respected, precious, powerful, rare",male
Azfaar,أظفار,"Victories, Fragrances",male
Azfar,أظفار,"(1) Successful, Victorious, Fragrant (2) Revered, Venerable, Sensible, Saint",male
Azfer,أظفر,Leader,male
Azghan,زجها,Faithful.,male
Azhaan,أذهان,"Geniuses, Intellects, Wits, Abilities and Zaheen.",male
Azhaar,أزهار,"Pl. of Zahra, flower, blossom.",male
Ambar,أمبر,Perfume (Ambergris) .,female
Ambara,أمبر,"Perfume, ambergris fem. of Ambar.",female
Ambareen,أمبر,Good smell,female
Ambarin,أمبرين,"Perfumed, Fragrant",female
Amber,أمبر,"Jewel ,colored stone ,Perfume, Ambergris , Responsible .",female
Ambereen,أمبر,"Fragarance, amber, sky",female
Ambra,أمبر,Gemstone,female
Ambreen,أمبر,Sky,female
Ameera,أميرة,"Princess, leader, Noble lady, An occupant of an abode, one who makes umrah or ziyaarah, abundant treasure.",female
Ameerah,أميرة,"Princess, leader, Noble lady, An occupant of an abode, one who makes umrah or ziyaarah, abundant treasure.",female
Amelia,عمليا,"Trustworthy, beautiful",female
Amial,أميال,"Amial is an Arabic name for boys and girls that means lighthouses, it is the plural of meel (lighthouse, which is a building that looks like a minaret and is built near the sea with a lamp on top of it to guide ships).",female
Aminan,أمينا,"Aminan is an Arabic name for girls that means calm, at peace, not afraid.",female
Aminat,أمينة,"Loyal and Trustworthy. BLANKENTER Aminat is an Arabic name for girls that means trustworthy women, loyal women, faithful women. It is the plural of Ameena.",female
Aminu,أمين,Safe and Secure,female
Amira,أميرة,"Princess, leader, Noble lady, An occupant of an abode, one who makes umrah or ziyaarah, abundant treasure.",female
Amiraa,أميرة,"Princess, leader, Noble lady, An occupant of an abode, one who makes umrah or ziyaarah, abundant treasure.",female
Amjad,أمجاد,"Most glorious, most distinguished, more illustrious, most venerable, most noble.",female
Amlaas,أملس,"Amlaas is an Arabic name for girls that means plains or steppes, areas of land that do not have trees or much grass.",female
Amlahan,عملها,"Amlahan is an Arabic name for girls that means dew, drops of water that collect on plant leaves during the night.",female
